run_id,policy,task,instruction,episode_id,reset_id,query_idx,query_start_action_slot,query_end_action_slot_exclusive,planned_exec_length,executed_length,success_before,success_after,trace_path,head_image_path,left_image_path,right_image_path,video_query_index,video_frame_start,video_frame_end_exclusive,terminal_success_video_frame
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,Use the left arm to grab the bottle with red screw cap head-up.,1,0,0,0,24,24,24,False,False,traces/episode0001_query0000.npz,query_images/episode0001_query0000_head.png,query_images/episode0001_query0000_left.png,query_images/episode0001_query0000_right.png,0,0,24,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,Use the left arm to grab the bottle with red screw cap head-up.,1,0,1,24,48,24,24,False,False,traces/episode0001_query0001.npz,query_images/episode0001_query0001_head.png,query_images/episode0001_query0001_left.png,query_images/episode0001_query0001_right.png,1,24,48,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,Use the left arm to grab the bottle with red screw cap head-up.,1,0,2,48,72,24,24,False,False,traces/episode0001_query0002.npz,query_images/episode0001_query0002_head.png,query_images/episode0001_query0002_left.png,query_images/episode0001_query0002_right.png,2,48,72,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,Use the left arm to grab the bottle with red screw cap head-up.,1,0,3,72,96,24,24,False,False,traces/episode0001_query0003.npz,query_images/episode0001_query0003_head.png,query_images/episode0001_query0003_left.png,query_images/episode0001_query0003_right.png,3,72,96,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,Use the left arm to grab the bottle with red screw cap head-up.,1,0,4,96,119,24,23,False,True,traces/episode0001_query0004.npz,query_images/episode0001_query0004_head.png,query_images/episode0001_query0004_left.png,query_images/episode0001_query0004_right.png,4,96,119,119
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,Lift the brown bottle from the table using the left arm.,2,1,0,0,24,24,24,False,False,traces/episode0002_query0000.npz,query_images/episode0002_query0000_head.png,query_images/episode0002_query0000_left.png,query_images/episode0002_query0000_right.png,0,0,24,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,Lift the brown bottle from the table using the left arm.,2,1,1,24,48,24,24,False,False,traces/episode0002_query0001.npz,query_images/episode0002_query0001_head.png,query_images/episode0002_query0001_left.png,query_images/episode0002_query0001_right.png,1,24,48,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,Lift the brown bottle from the table using the left arm.,2,1,2,48,72,24,24,False,False,traces/episode0002_query0002.npz,query_images/episode0002_query0002_head.png,query_images/episode0002_query0002_left.png,query_images/episode0002_query0002_right.png,2,48,72,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,Lift the brown bottle from the table using the left arm.,2,1,3,72,96,24,24,False,False,traces/episode0002_query0003.npz,query_images/episode0002_query0003_head.png,query_images/episode0002_query0003_left.png,query_images/episode0002_query0003_right.png,3,72,96,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,Lift the brown bottle from the table using the left arm.,2,1,4,96,117,24,21,False,True,traces/episode0002_query0004.npz,query_images/episode0002_query0004_head.png,query_images/episode0002_query0004_left.png,query_images/episode0002_query0004_right.png,4,96,117,117
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,Use the right arm to grab the bottle with red screw cap upright,3,2,0,0,24,24,24,False,False,traces/episode0003_query0000.npz,query_images/episode0003_query0000_head.png,query_images/episode0003_query0000_left.png,query_images/episode0003_query0000_right.png,0,0,24,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,adjust_bottle,Use the right arm to grab the bottle with red screw cap upright,3,2,1,24,48,24,24,False,False,traces/episode0003_query0001.npz,query_images/episode0003_query0001_head.png,query_images/episode0003_query0001_left.png,query_images/episode0003_query0001_right.png,1,24,48,
