run_id,episode_id,query_idx,h,action_slot,video_frame_index,query_state_phase,phase_coarse,phase_task,phase_source,phase_confidence
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,0,0,0,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,1,1,1,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,2,2,2,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,3,3,3,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,4,4,4,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,5,5,5,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,6,6,6,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,7,7,7,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,8,8,8,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,9,9,9,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,10,10,10,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,11,11,11,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,12,12,12,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,13,13,13,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,14,14,14,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,15,15,15,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,16,16,16,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,17,17,17,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,18,18,18,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,19,19,19,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,20,20,20,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,21,21,21,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,22,22,22,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,0,23,23,23,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,1,0,24,24,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,1,1,25,25,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,1,2,26,26,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,1,3,27,27,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,1,4,28,28,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,1,5,29,29,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,1,6,30,30,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,1,7,31,31,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,1,8,32,32,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,1,9,33,33,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,1,10,34,34,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,1,11,35,35,,,,,
fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,1,1,12,36,36,,,,,
