cycle,weight_mean,weight_median,weight_p05,weight_p95,weight_ess_ratio,top20_weight_mass,downweighted_fraction,upweighted_fraction,min_weight_fraction,max_weight_fraction,actor_switch_rate,query_weight_q_gap_corr,replay_age_mean
114,,,,,,,,,,,,,
115,,,,,,,,,,,,,
116,,,,,,,,,,,,,
117,,,,,,,,,,,,,
118,,,,,,,,,,,,,
119,,,,,,,,,,,,,
120,,,,,,,,,,,,,
121,,,,,,,,,,,,,
122,,,,,,,,,,,,,
123,,,,,,,,,,,,,
124,,,,,,,,,,,,,
125,,,,,,,,,,,,,
126,,,,,,,,,,,,,
127,,,,,,,,,,,,,
128,,,,,,,,,,,,,
129,,,,,,,,,,,,,
130,,,,,,,,,,,,,
131,,,,,,,,,,,,,
132,,,,,,,,,,,,,
133,,,,,,,,,,,,,
134,,,,,,,,,,,,,
135,,,,,,,,,,,,,
136,0.986,0.94,0.296,1.897,0.89,0.292,0.6,0.4,0.0,0.0,0.0,,799.0
137,0.986,0.94,0.296,1.899,0.89,0.292,0.6,0.4,0.0,0.0,0.0,,2387.1
138,0.987,0.941,0.296,1.9,0.89,0.292,0.6,0.4,0.0,0.0,0.0,,3963.0
139,0.986,0.94,0.297,1.897,0.89,0.292,0.6,0.4,0.0,0.0,0.0,,5527.2
140,0.986,0.94,0.296,1.9,0.889,0.292,0.6,0.4,0.0,0.0,0.0,,7079.2
141,0.986,0.94,0.296,1.898,0.889,0.293,0.6,0.4,0.0,0.0,0.0,,8626.4
142,0.985,0.939,0.296,1.896,0.889,0.293,0.6,0.4,0.0,0.0,0.0,,10200.0
143,0.986,0.94,0.297,1.897,0.889,0.292,0.6,0.4,0.0,0.0,0.0,,11700.0
144,0.987,0.941,0.297,1.9,0.889,0.292,0.6,0.4,0.0,0.0,0.0,,13200.0
145,0.986,0.94,0.296,1.897,0.889,0.293,0.6,0.4,0.0,0.0,0.0,,14700.0
146,0.987,0.941,0.296,1.899,0.89,0.292,0.6,0.4,0.0,0.0,0.0,,16200.0
147,0.987,0.941,0.297,1.897,0.89,0.292,0.6,0.4,0.0,0.0,0.0,,17700.0
148,0.987,0.941,0.296,1.901,0.889,0.292,0.6,0.4,0.0,0.0,0.0,,19200.0
149,0.987,0.941,0.297,1.901,0.89,0.292,0.6,0.4,0.0,0.0,0.0,,20600.0
150,0.986,0.94,0.296,1.898,0.889,0.292,0.6,0.4,0.0,0.0,0.0,,22100.0
151,0.986,0.94,0.296,1.898,0.889,0.292,0.6,0.4,0.0,0.0,0.0,,23600.0
152,0.986,0.94,0.296,1.895,0.889,0.292,0.6,0.4,0.0,0.0,0.0,,25000.0
153,0.986,0.94,0.296,1.897,0.889,0.292,0.6,0.4,0.0,0.0,0.0,,26400.0
154,0.985,0.939,0.295,1.898,0.889,0.293,0.6,0.4,0.0,0.0,0.0,,27800.0
155,0.987,0.94,0.297,1.901,0.89,0.292,0.6,0.4,0.0,0.0,0.0063,,29300.0
156,0.987,0.941,0.296,1.901,0.889,0.293,0.6,0.4,0.0,0.0,0.013,,30700.0
157,0.987,0.94,0.297,1.9,0.89,0.292,0.6,0.4,0.0,0.0,0.019,,32100.0
158,0.987,0.941,0.297,1.899,0.89,0.292,0.6,0.4,0.0,0.0,0.026,,33400.0
159,0.987,0.941,0.296,1.898,0.89,0.292,0.6,0.4,0.0,0.0,0.032,,34800.0
160,0.988,0.942,0.296,1.9,0.89,0.292,0.6,0.4,0.0,0.0,0.037,,36200.0
161,0.989,0.943,0.298,1.903,0.89,0.292,0.6,0.4,0.0,0.0,0.043,,37600.0
162,0.989,0.943,0.298,1.902,0.89,0.292,0.6,0.4,0.0,0.0,0.05,,38900.0
163,0.989,0.943,0.298,1.901,0.89,0.292,0.6,0.4,0.0,0.0,0.054,,40300.0
164,0.988,0.942,0.298,1.899,0.89,0.292,0.6,0.4,0.0,0.0,0.061,,41600.0
165,0.988,0.943,0.298,1.897,0.89,0.292,0.6,0.4,0.0,0.0,0.065,,43100.0
166,0.989,0.943,0.299,1.9,0.89,0.292,0.6,0.4,0.0,0.0,0.072,,44400.0
167,0.99,0.945,0.3,1.902,0.89,0.292,0.6,0.4,0.0,0.0,0.078,,45700.0
168,0.99,0.945,0.299,1.9,0.89,0.292,0.6,0.4,0.0,0.0,0.084,,47000.0
169,0.99,0.945,0.3,1.901,0.89,0.292,0.6,0.4,0.0,0.0,0.089,,48300.0
170,0.991,0.946,0.301,1.901,0.891,0.292,0.6,0.4,0.0,0.0,0.093,,49300.0
171,0.991,0.946,0.301,1.905,0.891,0.292,0.6,0.4,0.0,0.0,0.099,,49900.0
172,0.991,0.946,0.303,1.902,0.891,0.292,0.6,0.4,0.0,0.0,0.104,,50300.0
173,0.992,0.947,0.302,1.905,0.891,0.292,0.6,0.4,0.0,0.0,0.107,,50800.0
174,0.991,0.946,0.301,1.901,0.891,0.292,0.6,0.4,0.0,0.0,0.113,,51200.0
175,0.99,0.945,0.3,1.898,0.89,0.292,0.6,0.4,0.0,0.0,0.117,,51600.0
176,0.992,0.948,0.303,1.902,0.891,0.292,0.6,0.4,0.0,0.0,0.122,,52000.0
177,0.992,0.947,0.302,1.905,0.891,0.292,0.6,0.4,0.0,0.0,0.127,,52400.0
178,0.991,0.946,0.3,1.902,0.891,0.292,0.6,0.4,0.0,0.0,0.131,,52900.0
179,0.992,0.948,0.304,1.902,0.891,0.292,0.6,0.4,0.0,0.0,0.137,,53300.0
180,0.993,0.947,0.303,1.901,0.891,0.291,0.6,0.4,0.0,0.0,0.142,,53600.0
181,0.994,0.949,0.305,1.905,0.892,0.291,0.6,0.4,0.0,0.0,0.146,,54100.0
182,0.992,0.947,0.303,1.902,0.891,0.292,0.6,0.4,0.0,0.0,0.148,,54600.0
183,0.993,0.949,0.305,1.901,0.892,0.291,0.6,0.4,0.0,0.0,0.154,,54900.0
184,0.992,0.947,0.303,1.9,0.891,0.292,0.6,0.4,0.0,0.0,0.157,,55400.0
185,0.994,0.95,0.305,1.902,0.892,0.291,0.6,0.4,0.0,0.0,0.161,,55800.0
186,0.992,0.947,0.303,1.898,0.891,0.292,0.6,0.4,0.0,0.0,0.166,,56200.0
187,0.993,0.948,0.304,1.902,0.891,0.292,0.6,0.4,0.0,0.0,0.171,,56500.0
188,0.995,0.95,0.305,1.902,0.892,0.291,0.6,0.4,0.0,0.0,0.174,,57000.0
189,0.994,0.949,0.305,1.899,0.892,0.291,0.6,0.4,0.0,0.0,0.179,,57400.0
190,0.995,0.95,0.306,1.902,0.892,0.291,0.6,0.4,0.0,0.0,0.182,,57900.0
191,0.994,0.95,0.306,1.9,0.892,0.291,0.6,0.4,0.0,0.0,0.186,,58200.0
192,0.995,0.95,0.306,1.904,0.892,0.291,0.6,0.4,0.0,0.0,0.191,,58500.0
193,0.995,0.951,0.307,1.899,0.892,0.291,0.6,0.4,0.0,0.0,0.195,,58900.0
194,0.995,0.951,0.307,1.9,0.892,0.291,0.6,0.4,0.0,0.0,0.197,,59400.0
195,0.995,0.951,0.307,1.899,0.892,0.291,0.6,0.4,0.0,0.0,0.202,,59700.0
196,0.995,0.951,0.307,1.901,0.892,0.291,0.6,0.4,0.0,0.0,0.206,,60200.0
197,0.995,0.951,0.307,1.899,0.892,0.291,0.6,0.4,0.0,0.0,0.209,,60600.0
198,0.995,0.951,0.308,1.899,0.892,0.291,0.6,0.4,0.0,0.0,0.213,,61000.0
199,0.997,0.952,0.308,1.904,0.892,0.291,0.6,0.4,0.0,0.0,0.218,,61300.0
200,0.996,0.952,0.309,1.899,0.893,0.291,0.6,0.4,0.0,0.0,0.219,,61800.0
201,0.996,0.951,0.31,1.898,0.893,0.291,0.6,0.4,0.0,0.0,0.222,,62200.0
202,0.995,0.951,0.309,1.897,0.892,0.291,0.6,0.4,0.0,0.0,0.227,,62500.0
203,0.996,0.952,0.308,1.9,0.892,0.291,0.6,0.4,0.0,0.0,0.229,,62900.0
204,0.996,0.952,0.309,1.897,0.893,0.291,0.6,0.4,0.0,0.0,0.234,,63300.0
205,0.996,0.953,0.309,1.897,0.893,0.291,0.6,0.4,0.0,0.0,0.239,,63700.0
206,0.997,0.954,0.31,1.899,0.893,0.291,0.6,0.4,0.0,0.0,0.239,,64300.0
207,0.997,0.953,0.309,1.899,0.893,0.291,0.6,0.4,0.0,0.0,0.244,,64500.0
208,0.998,0.954,0.31,1.901,0.893,0.29,0.6,0.4,0.0,0.0,0.248,,64800.0
209,0.996,0.953,0.311,1.897,0.893,0.291,0.6,0.4,0.0,0.0,0.249,,65300.0
210,0.998,0.954,0.31,1.899,0.893,0.291,0.6,0.4,0.0,0.0,0.254,,65600.0
211,0.998,0.954,0.313,1.903,0.893,0.29,0.6,0.4,0.0,0.0,0.257,,66100.0
212,0.999,0.956,0.312,1.898,0.893,0.29,0.6,0.4,0.0,0.0,0.261,,66500.0
213,0.996,0.953,0.312,1.897,0.893,0.29,0.6,0.4,0.0,0.0,0.264,,66900.0
214,0.998,0.954,0.312,1.9,0.893,0.29,0.6,0.4,0.0,0.0,0.267,,67300.0
215,0.997,0.954,0.311,1.9,0.893,0.29,0.6,0.4,0.0,0.0,0.27,,67700.0
216,0.998,0.954,0.312,1.901,0.893,0.29,0.6,0.4,0.0,0.0,0.274,,67900.0
217,0.997,0.953,0.312,1.898,0.894,0.29,0.6,0.4,0.0,0.0,0.276,,68300.0
218,0.997,0.954,0.312,1.895,0.893,0.29,0.6,0.4,0.0,0.0,0.277,,68900.0
219,0.996,0.952,0.312,1.894,0.893,0.29,0.6,0.4,0.0,0.0,0.282,,69200.0
220,0.997,0.954,0.312,1.896,0.894,0.29,0.6,0.4,0.0,0.0,0.286,,69500.0
221,0.997,0.953,0.312,1.897,0.894,0.29,0.6,0.4,0.0,0.0,0.29,,69800.0
222,0.996,0.952,0.311,1.897,0.893,0.29,0.6,0.4,0.0,0.0,0.293,,70300.0
223,0.997,0.953,0.312,1.895,0.894,0.29,0.6,0.4,0.0,0.0,0.294,,70800.0
224,0.998,0.955,0.313,1.896,0.894,0.29,0.6,0.4,0.0,0.0,0.298,,71100.0
225,0.998,0.954,0.313,1.897,0.893,0.29,0.6,0.4,0.0,0.0,0.302,,71400.0
226,0.999,0.955,0.314,1.899,0.894,0.29,0.6,0.4,0.0,0.0,0.304,,71900.0
227,0.998,0.955,0.312,1.897,0.894,0.29,0.6,0.4,0.0,0.0,0.307,,72300.0
228,0.998,0.955,0.313,1.897,0.894,0.29,0.6,0.4,0.0,0.0,0.311,,72700.0
229,0.997,0.954,0.314,1.894,0.894,0.29,0.6,0.4,0.0,0.0,0.312,,73200.0
230,0.998,0.955,0.313,1.895,0.894,0.29,0.6,0.4,0.0,0.0,0.314,,73600.0
231,0.998,0.954,0.314,1.898,0.894,0.29,0.6,0.4,0.0,0.0,0.32,,73800.0
232,0.999,0.955,0.314,1.898,0.894,0.29,0.6,0.4,0.0,0.0,0.32,,74300.0
233,0.998,0.954,0.313,1.894,0.894,0.29,0.6,0.4,0.0,0.0,0.323,,74700.0
234,0.999,0.957,0.315,1.895,0.894,0.29,0.6,0.4,0.0,0.0,0.326,,75100.0
235,0.998,0.955,0.314,1.895,0.894,0.29,0.6,0.4,0.0,0.0,0.329,,75400.0
236,0.998,0.955,0.313,1.895,0.894,0.29,0.6,0.4,0.0,0.0,0.331,,75800.0
237,0.998,0.954,0.314,1.894,0.894,0.29,0.6,0.4,0.0,0.0,0.334,,76100.0
238,0.998,0.955,0.315,1.895,0.894,0.29,0.6,0.4,0.0,0.0,0.337,,76500.0
239,0.999,0.956,0.314,1.896,0.894,0.29,0.6,0.4,0.0,0.0,0.34,,76800.0
240,0.999,0.956,0.315,1.896,0.894,0.29,0.6,0.4,0.0,0.0,0.343,,77100.0
241,0.999,0.956,0.316,1.894,0.894,0.29,0.6,0.4,0.0,0.0,0.344,,77600.0
242,0.997,0.954,0.313,1.893,0.894,0.29,0.6,0.4,0.0,0.0,0.348,,78000.0
243,0.998,0.955,0.315,1.896,0.894,0.29,0.6,0.4,0.0,0.0,0.347,,78600.0
244,0.998,0.955,0.315,1.894,0.894,0.29,0.6,0.4,0.0,0.0,0.347,,79000.0
245,0.998,0.954,0.316,1.897,0.894,0.29,0.6,0.4,0.0,0.0,0.351,,79200.0
246,0.999,0.956,0.315,1.894,0.894,0.29,0.6,0.4,0.0,0.0,0.356,,79400.0
247,0.998,0.955,0.315,1.896,0.894,0.29,0.6,0.4,0.0,0.0,0.357,,79900.0
248,0.998,0.955,0.316,1.891,0.894,0.29,0.6,0.4,0.0,0.0,0.358,,80300.0
249,0.999,0.956,0.316,1.898,0.894,0.29,0.6,0.4,0.0,0.0,0.363,,80500.0
250,0.998,0.955,0.315,1.893,0.894,0.29,0.6,0.4,0.0,0.0,0.365,,80800.0
251,0.998,0.954,0.315,1.896,0.894,0.29,0.6,0.4,0.0,0.0,0.367,,81100.0
252,0.999,0.956,0.315,1.896,0.894,0.29,0.6,0.4,0.0,0.0,0.368,,81700.0
253,0.998,0.955,0.315,1.893,0.894,0.29,0.6,0.4,0.0,0.0,0.37,,82000.0
254,0.999,0.956,0.318,1.894,0.895,0.29,0.6,0.4,0.0,0.0,0.373,,82300.0
255,0.999,0.956,0.317,1.893,0.895,0.29,0.6,0.4,0.0,0.0,0.375,,82500.0
256,1.0,0.958,0.316,1.894,0.895,0.29,0.6,0.4,0.0,0.0,0.376,,83000.0
257,0.998,0.955,0.317,1.894,0.895,0.29,0.6,0.4,0.0,0.0,0.378,,83400.0
258,0.999,0.956,0.317,1.893,0.895,0.29,0.6,0.4,0.0,0.0,0.383,,83500.0
259,0.999,0.956,0.316,1.894,0.895,0.29,0.6,0.4,0.0,0.0,0.382,,84000.0
260,0.999,0.956,0.317,1.894,0.895,0.29,0.6,0.4,0.0,0.0,0.385,,84300.0
261,0.999,0.956,0.316,1.893,0.895,0.29,0.6,0.4,0.0,0.0,0.388,,84700.0
262,0.997,0.955,0.316,1.886,0.895,0.29,0.6,0.4,0.0,0.0,0.39,,85100.0
263,0.997,0.954,0.316,1.889,0.895,0.29,0.6,0.4,0.0,0.0,0.392,,85500.0
264,0.999,0.956,0.317,1.893,0.895,0.29,0.6,0.4,0.0,0.0,0.395,,85800.0
265,0.999,0.956,0.318,1.891,0.895,0.29,0.6,0.4,0.0,0.0,0.396,,86300.0
266,0.998,0.956,0.318,1.888,0.895,0.29,0.6,0.4,0.0,0.0,0.399,,86500.0
267,1.0,0.957,0.318,1.893,0.895,0.289,0.6,0.4,0.0,0.0,0.401,,86800.0
268,0.998,0.955,0.317,1.89,0.895,0.29,0.6,0.4,0.0,0.0,0.402,,87200.0
269,0.998,0.956,0.317,1.887,0.895,0.29,0.6,0.4,0.0,0.0,0.405,,87500.0
270,0.999,0.957,0.318,1.89,0.895,0.289,0.6,0.4,0.0,0.0,0.405,,87900.0
271,0.999,0.957,0.319,1.89,0.895,0.29,0.6,0.4,0.0,0.0,0.406,,88400.0
272,0.998,0.956,0.317,1.886,0.895,0.29,0.6,0.4,0.0,0.0,0.411,,88500.0
273,0.998,0.956,0.317,1.885,0.895,0.29,0.6,0.4,0.0,0.0,0.413,,88900.0
274,0.998,0.956,0.316,1.892,0.895,0.29,0.6,0.4,0.0,0.0,0.412,,89400.0
275,0.999,0.957,0.32,1.888,0.895,0.289,0.6,0.4,0.0,0.0,0.415,,89700.0
276,1.0,0.958,0.319,1.893,0.895,0.289,0.6,0.4,0.0,0.0,0.418,,90000.0
277,1.001,0.959,0.319,1.891,0.896,0.289,0.6,0.4,0.0,0.0,0.424,,89900.0
278,0.998,0.956,0.317,1.886,0.895,0.29,0.6,0.4,0.0,0.0,0.424,,90400.0
279,0.999,0.957,0.319,1.887,0.895,0.289,0.6,0.4,0.0,0.0,0.423,,90900.0
280,0.998,0.956,0.318,1.887,0.895,0.29,0.6,0.4,0.0,0.0,0.424,,91400.0
281,0.999,0.957,0.319,1.888,0.895,0.289,0.6,0.4,0.0,0.0,0.427,,91500.0
282,0.998,0.956,0.318,1.884,0.895,0.29,0.6,0.4,0.0,0.0,0.427,,92100.0
283,0.999,0.957,0.321,1.885,0.896,0.289,0.6,0.4,0.0,0.0,0.43,,92200.0
284,1.0,0.958,0.318,1.886,0.895,0.289,0.6,0.4,0.0,0.0,0.43,,92800.0
285,1.0,0.956,0.318,1.891,0.895,0.29,0.6,0.4,0.0,0.0,0.433,,93000.0
286,0.999,0.957,0.318,1.888,0.895,0.29,0.6,0.4,0.0,0.0,0.434,,93200.0
287,0.998,0.957,0.319,1.882,0.896,0.289,0.6,0.4,0.0,0.0,0.437,,93500.0
288,0.999,0.956,0.319,1.888,0.896,0.289,0.6,0.4,0.0,0.0,0.438,,93900.0
289,0.999,0.956,0.32,1.884,0.895,0.289,0.6,0.4,0.0,0.0,0.44,,94100.0
290,1.0,0.958,0.32,1.887,0.896,0.289,0.6,0.4,0.0,0.0,0.438,,94600.0
291,0.997,0.955,0.319,1.882,0.895,0.289,0.6,0.4,0.0,0.0,0.443,,94600.0
292,0.999,0.957,0.319,1.881,0.896,0.289,0.6,0.4,0.0,0.0,0.443,,95100.0
293,0.998,0.956,0.319,1.882,0.896,0.289,0.6,0.4,0.0,0.0,0.447,,95100.0
294,0.999,0.957,0.32,1.883,0.896,0.289,0.6,0.4,0.0,0.0,0.446,,95600.0
295,0.999,0.956,0.319,1.883,0.896,0.289,0.6,0.4,0.0,0.0,0.446,,96100.0
296,0.996,0.954,0.318,1.876,0.895,0.289,0.6,0.4,0.0,0.0,0.449,,96300.0
297,0.999,0.957,0.32,1.884,0.896,0.289,0.6,0.4,0.0,0.0,0.45,,96500.0
298,0.998,0.956,0.32,1.885,0.896,0.289,0.6,0.4,0.0,0.0,0.452,,96900.0
299,0.996,0.955,0.319,1.879,0.895,0.29,0.6,0.4,0.0,0.0,0.453,,97100.0
300,0.997,0.955,0.319,1.882,0.896,0.289,0.6,0.4,0.0,0.0,0.457,,97200.0
301,0.997,0.956,0.319,1.877,0.896,0.289,0.6,0.4,0.0,0.0,0.455,,97800.0
302,0.998,0.956,0.319,1.88,0.896,0.289,0.6,0.4,0.0,0.0,0.458,,97900.0
303,0.997,0.955,0.319,1.88,0.896,0.289,0.6,0.4,0.0,0.0,0.457,,98500.0
304,0.995,0.954,0.317,1.876,0.895,0.29,0.6,0.4,0.0,0.0,0.46,,98600.0
305,0.998,0.957,0.32,1.881,0.896,0.289,0.6,0.4,0.0,0.0,0.462,,98700.0
306,0.996,0.954,0.318,1.88,0.895,0.289,0.6,0.4,0.0,0.0,0.463,,99100.0
307,0.997,0.956,0.319,1.878,0.896,0.289,0.6,0.4,0.0,0.0,0.465,,99300.0
308,0.996,0.954,0.318,1.878,0.895,0.289,0.6,0.4,0.0,0.0,0.466,,99700.0
309,0.996,0.955,0.319,1.874,0.896,0.289,0.6,0.4,0.0,0.0,0.466,,100000.0
310,0.997,0.955,0.318,1.879,0.896,0.289,0.6,0.4,0.0,0.0,0.47,,100000.0
311,0.996,0.955,0.319,1.876,0.896,0.289,0.6,0.4,0.0,0.0,0.469,,101000.0
312,0.996,0.954,0.319,1.877,0.896,0.289,0.6,0.4,0.0,0.0,0.471,,101000.0
313,0.996,0.954,0.319,1.878,0.896,0.289,0.6,0.4,0.0,0.0,0.473,,101000.0
314,0.995,0.954,0.318,1.874,0.895,0.29,0.6,0.4,0.0,0.0,0.473,,101000.0
315,0.995,0.953,0.319,1.874,0.896,0.289,0.6,0.4,0.0,0.0,0.474,,102000.0
316,0.996,0.954,0.318,1.873,0.896,0.289,0.6,0.4,0.0,0.0,0.476,,102000.0
317,0.997,0.955,0.319,1.875,0.896,0.289,0.6,0.4,0.0,0.0,0.476,,102000.0
318,0.994,0.953,0.317,1.869,0.895,0.29,0.6,0.4,0.0,0.0,0.477,,103000.0
319,0.996,0.954,0.317,1.874,0.895,0.29,0.6,0.4,0.0,0.0,0.48,,103000.0
320,0.995,0.954,0.319,1.87,0.896,0.289,0.6,0.4,0.0,0.0,0.481,,103000.0
321,0.995,0.954,0.319,1.872,0.896,0.289,0.6,0.4,0.0,0.0,0.481,,103000.0
322,0.993,0.952,0.318,1.866,0.896,0.29,0.6,0.4,0.0,0.0,0.484,,103000.0
323,0.997,0.956,0.319,1.871,0.896,0.289,0.6,0.4,0.0,0.0,0.483,,104000.0
324,0.996,0.955,0.318,1.871,0.896,0.29,0.6,0.4,0.0,0.0,0.485,,104000.0
325,0.996,0.955,0.319,1.871,0.896,0.289,0.6,0.4,0.0,0.0,0.489,,104000.0
326,0.995,0.954,0.318,1.87,0.896,0.289,0.6,0.4,0.0,0.0,0.487,,105000.0
327,0.995,0.954,0.318,1.869,0.896,0.289,0.6,0.4,0.0,0.0,0.488,,105000.0
328,0.994,0.953,0.319,1.865,0.896,0.29,0.6,0.4,0.0,0.0,0.49,,105000.0
329,0.994,0.953,0.319,1.867,0.896,0.289,0.6,0.4,0.0,0.0,0.491,,106000.0
330,0.994,0.953,0.319,1.869,0.896,0.289,0.6,0.4,0.0,0.0,0.491,,106000.0
331,0.995,0.954,0.318,1.871,0.895,0.29,0.6,0.4,0.0,0.0,0.494,,106000.0
332,0.994,0.952,0.318,1.865,0.896,0.289,0.6,0.4,0.0,0.0,0.496,,106000.0
333,0.995,0.954,0.32,1.865,0.896,0.289,0.6,0.4,0.0,0.0,0.496,,107000.0
334,0.994,0.953,0.321,1.864,0.896,0.289,0.6,0.4,0.0,0.0,0.498,,107000.0
335,0.993,0.952,0.319,1.863,0.896,0.289,0.6,0.4,0.0,0.0,0.498,,107000.0
336,0.994,0.953,0.318,1.866,0.896,0.289,0.6,0.4,0.0,0.0,0.498,,108000.0
337,0.992,0.952,0.319,1.862,0.896,0.289,0.6,0.4,0.0,0.0,0.5,,108000.0
338,0.994,0.953,0.32,1.862,0.896,0.289,0.6,0.4,0.0,0.0,0.5,,108000.0
339,0.993,0.952,0.319,1.862,0.896,0.289,0.6,0.4,0.0,0.0,0.502,,108000.0
340,0.994,0.954,0.32,1.862,0.896,0.289,0.6,0.4,0.0,0.0,0.504,,109000.0
341,0.994,0.954,0.319,1.863,0.896,0.289,0.6,0.4,0.0,0.0,0.506,,109000.0
342,0.993,0.952,0.319,1.861,0.896,0.289,0.6,0.4,0.0,0.0,0.505,,109000.0
343,0.993,0.952,0.319,1.861,0.896,0.289,0.6,0.4,0.0,0.0,0.507,,110000.0
344,0.993,0.953,0.319,1.86,0.896,0.289,0.6,0.4,0.0,0.0,0.507,,110000.0
345,0.992,0.951,0.319,1.856,0.896,0.289,0.6,0.4,0.0,0.0,0.51,,110000.0
346,0.991,0.951,0.319,1.857,0.896,0.289,0.6,0.4,0.0,0.0,0.512,,110000.0
347,0.991,0.95,0.317,1.858,0.896,0.289,0.6,0.4,0.0,0.0,0.513,,111000.0
348,0.993,0.953,0.318,1.861,0.896,0.289,0.6,0.4,0.0,0.0,0.512,,111000.0
349,0.993,0.952,0.318,1.863,0.896,0.289,0.6,0.4,0.0,0.0,0.513,,111000.0
350,0.992,0.952,0.319,1.859,0.896,0.289,0.6,0.4,0.0,0.0,0.517,,111000.0
351,0.992,0.952,0.318,1.857,0.896,0.289,0.6,0.4,0.0,0.0,0.516,,112000.0
352,0.994,0.953,0.319,1.862,0.896,0.289,0.6,0.4,0.0,0.0,0.517,,112000.0
353,0.991,0.951,0.317,1.855,0.896,0.289,0.6,0.4,0.0,0.0,0.519,,112000.0
354,0.993,0.952,0.32,1.858,0.896,0.289,0.6,0.4,0.0,0.0,0.518,,113000.0
355,0.991,0.951,0.32,1.858,0.896,0.289,0.6,0.4,0.0,0.0,0.519,,113000.0
356,0.992,0.951,0.321,1.859,0.896,0.289,0.6,0.4,0.0,0.0,0.521,,113000.0
357,0.991,0.95,0.319,1.855,0.896,0.289,0.6,0.4,0.0,0.0,0.526,,113000.0
358,0.993,0.952,0.321,1.858,0.896,0.289,0.6,0.4,0.0,0.0,0.523,,114000.0
359,0.992,0.952,0.32,1.857,0.896,0.289,0.6,0.4,0.0,0.0,0.524,,114000.0
360,0.993,0.953,0.32,1.859,0.896,0.289,0.6,0.4,0.0,0.0,0.523,,115000.0
