array_row,h,query_uid,episode_idx,query_idx,action_slot_start,reset_id,success,V_L2,log10_V_L2,V_L3,log10_V_L3,V_L4,log10_V_L4
0,0,ep000000_q000_reset100100052,0,0,0,100100052,True,0.0022611136,-2.6456776,0.010307585,-1.9868432,0.030823408,-1.5111195
0,1,ep000000_q000_reset100100052,0,0,0,100100052,True,0.0023557178,-2.6278768,0.011601019,-1.9355041,0.041989252,-1.3768619
0,2,ep000000_q000_reset100100052,0,0,0,100100052,True,0.0020303586,-2.6924274,0.006663681,-2.176286,0.024307767,-1.6142551
0,3,ep000000_q000_reset100100052,0,0,0,100100052,True,0.0021525489,-2.667047,0.0073612216,-2.1330502,0.02977648,-1.5261267
0,4,ep000000_q000_reset100100052,0,0,0,100100052,True,0.002156833,-2.6661835,0.006645941,-2.1774437,0.039981462,-1.3981414
0,5,ep000000_q000_reset100100052,0,0,0,100100052,True,0.0027284524,-2.5640836,0.007679928,-2.114643,0.03946115,-1.4038304
0,6,ep000000_q000_reset100100052,0,0,0,100100052,True,0.0059874686,-2.2227569,0.011379283,-1.9438853,0.054527663,-1.2633832
0,7,ep000000_q000_reset100100052,0,0,0,100100052,True,0.004925913,-2.3075135,0.009081315,-2.0418515,0.04672972,-1.3304069
0,8,ep000000_q000_reset100100052,0,0,0,100100052,True,0.009059664,-2.0428882,0.008726356,-2.0591674,0.03228211,-1.4910382
0,9,ep000000_q000_reset100100052,0,0,0,100100052,True,0.0104460735,-1.9810472,0.0148801105,-1.8273939,0.05049666,-1.2967374
0,10,ep000000_q000_reset100100052,0,0,0,100100052,True,0.0068300497,-2.1655762,0.00797685,-2.0981688,0.033896726,-1.4698423
0,11,ep000000_q000_reset100100052,0,0,0,100100052,True,0.007999614,-2.0969312,0.010853533,-1.964429,0.037053168,-1.4311748
0,12,ep000000_q000_reset100100052,0,0,0,100100052,True,0.0060682804,-2.2169344,0.00930188,-2.0314295,0.04455845,-1.35107
0,13,ep000000_q000_reset100100052,0,0,0,100100052,True,0.0050724205,-2.2947848,0.009859528,-2.006144,0.062115155,-1.2068025
0,14,ep000000_q000_reset100100052,0,0,0,100100052,True,0.006578352,-2.181883,0.010640126,-1.9730535,0.06112826,-1.213758
0,15,ep000000_q000_reset100100052,0,0,0,100100052,True,0.0064815623,-2.1883204,0.014980768,-1.824466,0.09471204,-1.0235949
0,16,ep000000_q000_reset100100052,0,0,0,100100052,True,0.0070889615,-2.1494176,0.011208671,-1.950446,0.073904075,-1.1313317
0,17,ep000000_q000_reset100100052,0,0,0,100100052,True,0.006519696,-2.185773,0.011099647,-1.954691,0.07416461,-1.1298033
0,18,ep000000_q000_reset100100052,0,0,0,100100052,True,0.007647308,-2.1164916,0.012640764,-1.8982267,0.090453535,-1.0435745
0,19,ep000000_q000_reset100100052,0,0,0,100100052,True,0.0052510635,-2.2797527,0.013950282,-1.855417,0.09267361,-1.033044
0,20,ep000000_q000_reset100100052,0,0,0,100100052,True,0.0057710717,-2.2387435,0.01615951,-1.7915719,0.10562292,-0.9762418
0,21,ep000000_q000_reset100100052,0,0,0,100100052,True,0.0047244076,-2.3256528,0.015637888,-1.8058219,0.13121012,-0.8820327
