trace_row,query_uid,episode_idx,eval_epoch,query_idx,action_slot_start,source_env_rank,stage_id,local_env_slot,reset_id,rollout_rank,video_worker_seed,video_index,video_tile_index,video_pre_frame,video_post_frame,video_relpath,success_before,head_image_relpath,left_wrist_image_relpath,right_wrist_image_relpath
0,ep000016_q000_reset100100173,16,0,0,0,1,0,0,100100173,1,1,0,0,0,1,seed_1/0.mp4,False,query_images/rollout_rank01/ep000016_q000_reset100100173__head.png,query_images/rollout_rank01/ep000016_q000_reset100100173__left_wrist.png,query_images/rollout_rank01/ep000016_q000_reset100100173__right_wrist.png
1,ep000017_q000_reset100100065,17,0,0,0,1,0,1,100100065,1,1,0,1,0,1,seed_1/0.mp4,False,query_images/rollout_rank01/ep000017_q000_reset100100065__head.png,query_images/rollout_rank01/ep000017_q000_reset100100065__left_wrist.png,query_images/rollout_rank01/ep000017_q000_reset100100065__right_wrist.png
2,ep000018_q000_reset100100076,18,0,0,0,1,0,2,100100076,1,1,0,2,0,1,seed_1/0.mp4,False,query_images/rollout_rank01/ep000018_q000_reset100100076__head.png,query_images/rollout_rank01/ep000018_q000_reset100100076__left_wrist.png,query_images/rollout_rank01/ep000018_q000_reset100100076__right_wrist.png
3,ep000019_q000_reset100100057,19,0,0,0,1,0,3,100100057,1,1,0,3,0,1,seed_1/0.mp4,False,query_images/rollout_rank01/ep000019_q000_reset100100057__head.png,query_images/rollout_rank01/ep000019_q000_reset100100057__left_wrist.png,query_images/rollout_rank01/ep000019_q000_reset100100057__right_wrist.png
4,ep000020_q000_reset100100035,20,0,0,0,1,0,4,100100035,1,1,0,4,0,1,seed_1/0.mp4,False,query_images/rollout_rank01/ep000020_q000_reset100100035__head.png,query_images/rollout_rank01/ep000020_q000_reset100100035__left_wrist.png,query_images/rollout_rank01/ep000020_q000_reset100100035__right_wrist.png
5,ep000021_q000_reset100100070,21,0,0,0,1,0,5,100100070,1,1,0,5,0,1,seed_1/0.mp4,False,query_images/rollout_rank01/ep000021_q000_reset100100070__head.png,query_images/rollout_rank01/ep000021_q000_reset100100070__left_wrist.png,query_images/rollout_rank01/ep000021_q000_reset100100070__right_wrist.png
6,ep000022_q000_reset100100119,22,0,0,0,1,0,6,100100119,1,1,0,6,0,1,seed_1/0.mp4,False,query_images/rollout_rank01/ep000022_q000_reset100100119__head.png,query_images/rollout_rank01/ep000022_q000_reset100100119__left_wrist.png,query_images/rollout_rank01/ep000022_q000_reset100100119__right_wrist.png
7,ep000023_q000_reset100100174,23,0,0,0,1,0,7,100100174,1,1,0,7,0,1,seed_1/0.mp4,False,query_images/rollout_rank01/ep000023_q000_reset100100174__head.png,query_images/rollout_rank01/ep000023_q000_reset100100174__left_wrist.png,query_images/rollout_rank01/ep000023_q000_reset100100174__right_wrist.png
8,ep000024_q000_reset100100090,24,0,0,0,1,0,8,100100090,1,1,0,8,0,1,seed_1/0.mp4,False,query_images/rollout_rank01/ep000024_q000_reset100100090__head.png,query_images/rollout_rank01/ep000024_q000_reset100100090__left_wrist.png,query_images/rollout_rank01/ep000024_q000_reset100100090__right_wrist.png
9,ep000025_q000_reset100100118,25,0,0,0,1,0,9,100100118,1,1,0,9,0,1,seed_1/0.mp4,False,query_images/rollout_rank01/ep000025_q000_reset100100118__head.png,query_images/rollout_rank01/ep000025_q000_reset100100118__left_wrist.png,query_images/rollout_rank01/ep000025_q000_reset100100118__right_wrist.png
