trace_row,query_uid,episode_idx,eval_epoch,query_idx,action_slot_start,source_env_rank,stage_id,local_env_slot,reset_id,rollout_rank,video_worker_seed,video_index,video_tile_index,video_pre_frame,video_post_frame,video_relpath,success_before,head_image_relpath,left_wrist_image_relpath,right_wrist_image_relpath
0,ep000048_q000_reset100100107,48,0,0,0,3,0,0,100100107,3,3,0,0,0,1,seed_3/0.mp4,False,query_images/rollout_rank03/ep000048_q000_reset100100107__head.png,query_images/rollout_rank03/ep000048_q000_reset100100107__left_wrist.png,query_images/rollout_rank03/ep000048_q000_reset100100107__right_wrist.png
1,ep000049_q000_reset100100150,49,0,0,0,3,0,1,100100150,3,3,0,1,0,1,seed_3/0.mp4,False,query_images/rollout_rank03/ep000049_q000_reset100100150__head.png,query_images/rollout_rank03/ep000049_q000_reset100100150__left_wrist.png,query_images/rollout_rank03/ep000049_q000_reset100100150__right_wrist.png
2,ep000050_q000_reset100100017,50,0,0,0,3,0,2,100100017,3,3,0,2,0,1,seed_3/0.mp4,False,query_images/rollout_rank03/ep000050_q000_reset100100017__head.png,query_images/rollout_rank03/ep000050_q000_reset100100017__left_wrist.png,query_images/rollout_rank03/ep000050_q000_reset100100017__right_wrist.png
3,ep000051_q000_reset100100140,51,0,0,0,3,0,3,100100140,3,3,0,3,0,1,seed_3/0.mp4,False,query_images/rollout_rank03/ep000051_q000_reset100100140__head.png,query_images/rollout_rank03/ep000051_q000_reset100100140__left_wrist.png,query_images/rollout_rank03/ep000051_q000_reset100100140__right_wrist.png
4,ep000052_q000_reset100100103,52,0,0,0,3,0,4,100100103,3,3,0,4,0,1,seed_3/0.mp4,False,query_images/rollout_rank03/ep000052_q000_reset100100103__head.png,query_images/rollout_rank03/ep000052_q000_reset100100103__left_wrist.png,query_images/rollout_rank03/ep000052_q000_reset100100103__right_wrist.png
5,ep000053_q000_reset100100067,53,0,0,0,3,0,5,100100067,3,3,0,5,0,1,seed_3/0.mp4,False,query_images/rollout_rank03/ep000053_q000_reset100100067__head.png,query_images/rollout_rank03/ep000053_q000_reset100100067__left_wrist.png,query_images/rollout_rank03/ep000053_q000_reset100100067__right_wrist.png
6,ep000054_q000_reset100100121,54,0,0,0,3,0,6,100100121,3,3,0,6,0,1,seed_3/0.mp4,False,query_images/rollout_rank03/ep000054_q000_reset100100121__head.png,query_images/rollout_rank03/ep000054_q000_reset100100121__left_wrist.png,query_images/rollout_rank03/ep000054_q000_reset100100121__right_wrist.png
7,ep000055_q000_reset100100007,55,0,0,0,3,0,7,100100007,3,3,0,7,0,1,seed_3/0.mp4,False,query_images/rollout_rank03/ep000055_q000_reset100100007__head.png,query_images/rollout_rank03/ep000055_q000_reset100100007__left_wrist.png,query_images/rollout_rank03/ep000055_q000_reset100100007__right_wrist.png
8,ep000056_q000_reset100100041,56,0,0,0,3,0,8,100100041,3,3,0,8,0,1,seed_3/0.mp4,False,query_images/rollout_rank03/ep000056_q000_reset100100041__head.png,query_images/rollout_rank03/ep000056_q000_reset100100041__left_wrist.png,query_images/rollout_rank03/ep000056_q000_reset100100041__right_wrist.png
9,ep000057_q000_reset100100031,57,0,0,0,3,0,9,100100031,3,3,0,9,0,1,seed_3/0.mp4,False,query_images/rollout_rank03/ep000057_q000_reset100100031__head.png,query_images/rollout_rank03/ep000057_q000_reset100100031__left_wrist.png,query_images/rollout_rank03/ep000057_q000_reset100100031__right_wrist.png
10,ep000058_q000_reset100100075,58,0,0,0,3,0,10,100100075,3,3,0,10,0,1,seed_3/0.mp4,False,query_images/rollout_rank03/ep000058_q000_reset100100075__head.png,query_images/rollout_rank03/ep000058_q000_reset100100075__left_wrist.png,query_images/rollout_rank03/ep000058_q000_reset100100075__right_wrist.png
11,ep000059_q000_reset100100146,59,0,0,0,3,0,11,100100146,3,3,0,11,0,1,seed_3/0.mp4,False,query_images/rollout_rank03/ep000059_q000_reset100100146__head.png,query_images/rollout_rank03/ep000059_q000_reset100100146__left_wrist.png,query_images/rollout_rank03/ep000059_q000_reset100100146__right_wrist.png
12,ep000060_q000_reset100100021,60,0,0,0,3,0,12,100100021,3,3,0,12,0,1,seed_3/0.mp4,False,query_images/rollout_rank03/ep000060_q000_reset100100021__head.png,query_images/rollout_rank03/ep000060_q000_reset100100021__left_wrist.png,query_images/rollout_rank03/ep000060_q000_reset100100021__right_wrist.png
